count_point_id,year,region_name,local_authority_name,road_name,road_type,latitude,longitude,all_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,all_hgvs
6758,2020,London,Richmond upon Thames,A205,Major,51.485513,-0.28734386,12667,9587,245,2136,203,52,51,378
74923,2012,London,Hillingdon,A437,Major,51.55317272,-0.44828858,18544,15619,215,1903,560,0,20,588
36823,2011,London,Wandsworth,A219,Major,51.46665111,-0.21338656,20359,16571,696,1735,446,60,22,552
74539,2004,London,Kensington and Chelsea,A3220,Major,51.51256856,-0.22002151,29362,22638,335,4136,502,58,153,812
46924,2014,London,Hounslow,A314,Major,51.43953432,-0.38998493,5671,5030,128,154,204,15,12,231
6071,2003,London,Tower Hamlets,A12,Major,51.51822846,-0.00986592,38003,27280,155,6955,1281,193,569,2945
18728,2018,London,Newham,A1020,Major,51.517698,0.07255775,13877,10721,147,2058,346,77,185,821
17614,2008,London,Ealing,A4127,Major,51.51638453,-0.35513659,9924,8287,296,822,159,23,64,344
803661,2018,London,Lambeth,U,Minor,51.441296,-0.12058664,698,570,1,111,2,0,0,2
6650,2004,London,Newham,A118,Major,51.55034926,0.0466356,11884,9641,396,1441,164,25,8,254
36278,2013,London,Merton,A238,Major,51.41574633,-0.18948573,11625,8551,354,1674,463,61,22,706
7571,2019,London,Wandsworth,A3036,Major,51.464905,-0.15874727,8946,6483,683,1235,128,29,20,184
942785,2015,London,Lewisham,U,Minor,51.48987562,-0.04953309,199,175,0,15,4,2,0,5
47729,2019,London,Westminster,A4207,Major,51.520036,-0.19976691,7041,5151,433,1092,58,10,3,72
48611,2012,London,Redbridge,A406,Major,51.57208189,0.04833321,49751,39460,132,6412,1512,391,420,3622
48813,2018,London,Newham,A112,Major,51.50111,0.05451466,3613,2766,209,476,46,14,12,100
17023,2004,London,Brent,A407,Major,51.55037997,-0.21991632,7036,5657,240,850,119,36,9,168
17572,2003,London,Westminster,A3212,Major,51.48633468,-0.13195777,20327,14268,184,3234,329,33,31,433
38466,2008,London,Hammersmith and Fulham,A219,Major,51.49142605,-0.2205282,6434,4940,97,908,83,21,6,117
27681,2007,London,Hillingdon,A4020,Major,51.52081836,-0.41594811,12743,10780,170,1110,329,62,55,512
75349,2012,London,Kingston upon Thames,A3,Major,51.41558484,-0.24989291,1765,1306,12,290,75,2,17,97
47519,2018,London,Waltham Forest,A1037,Major,51.61922,-0.02625247,9489,7548,32,1599,100,18,31,194
47658,2009,London,Wandsworth,A3205,Major,51.48471611,-0.12914331,16978,10934,411,3142,553,151,110,904
16617,2023,London,Enfield,A1055,Major,51.680116,-0.04877489,11710,8131,129,1769,572,40,51,1247
70191,2018,London,Westminster,A5204,Major,51.51752,-0.1422128,1657,1131,1,343,28,5,6,40
46815,2000,London,Bexley,A222,Major,51.43846985,0.12796366,7670,6525,242,731,104,1,5,120
16621,2006,London,Hackney,A107,Major,51.53879986,-0.05684406,11386,7759,1172,1727,335,14,10,370
56742,2013,London,Hillingdon,A408,Major,51.51842793,-0.45927055,7151,5535,226,1033,178,61,31,276
900004,2008,London,Hillingdon,C,Minor,51.49454254,-0.46871931,4644,2952,849,352,293,91,21,448
17636,2001,London,Hillingdon,A4180,Major,51.56396055,-0.41444941,9792,8277,181,987,138,13,9,183
28210,2007,London,Southwark,A2205,Major,51.49730906,-0.08203524,1386,960,7,291,41,5,2,49
37773,2022,London,Camden,A4200,Major,51.518254,-0.12056247,10766,6651,804,2171,265,31,52,364
16203,2004,London,Tower Hamlets,A13,Major,51.51252597,-0.03432668,17240,11649,511,3341,310,44,32,467
990340,2002,London,Bromley,U,Minor,51.36902985,0.07359539,524,488,0,26,5,1,0,6
26809,2002,London,Bexley,A223,Major,51.43980739,0.15320735,12660,10769,132,1366,183,3,5,194
26826,2022,London,Merton,A24,Major,51.414854,-0.17844764,9088,6494,234,1671,206,29,30,317
36681,2013,London,Newham,A117,Major,51.54599086,0.0490361,11393,10357,288,523,156,8,11,182
28533,2017,London,Ealing,A4127,Major,51.55524313,-0.33685804,9300,7742,175,1107,100,11,9,141
942271,2017,London,Bromley,C,Minor,51.31553134,0.04182127,2578,2283,19,254,14,0,0,14
48556,2002,London,Barking and Dagenham,A118,Major,51.57269433,0.14490622,12551,10588,147,1459,168,12,5,203
36803,2001,London,Greenwich,A206,Major,51.49169282,0.06849687,15001,11444,172,2162,518,76,111,922
948011,2009,London,Barnet,U,Minor,51.63035307,-0.15783528,1650,1306,73,250,15,0,1,16
26913,2008,London,Ealing,A312,Major,51.55590254,-0.36135676,16530,13727,246,2040,267,34,38,373
73165,2013,London,Bromley,A232,Major,51.37732832,-0.02144369,9986,7811,223,1415,194,44,70,362
8489,2006,London,Tower Hamlets,A13,Major,51.51279312,-0.04008002,14203,9746,388,2159,377,53,38,529
953311,2004,London,Havering,C,Minor,51.52376263,0.2227588,2783,2276,0,476,15,0,0,15
7044,2015,London,Camden,A400,Major,51.53113588,-0.138775,19898,15067,963,2312,481,29,70,607
36076,2020,London,Islington,A1,Major,51.534194,-0.10519892,7866,4043,1194,1587,233,40,27,344
26180,2022,London,Enfield,A10,Major,51.637861,-0.06561898,24037,18885,218,3509,541,59,82,882
46909,2007,London,Richmond upon Thames,A307,Major,51.47054332,-0.2935774,7793,6163,164,1017,133,27,19,213
16748,2014,London,Greenwich,A207,Major,51.47343154,0.0431909,11031,8948,195,1279,188,26,27,250
56899,2023,London,Southwark,A300,Major,51.49814,-0.10006717,0,0,0,0,0,0,0,0
26081,2023,London,Barnet,A1,Major,51.621024,-0.25355714,33076,24943,312,5943,868,74,198,1383
26647,2012,London,Islington,A104,Major,51.54660959,-0.08333758,8921,5847,738,1432,286,36,36,393
930274,2009,London,Brent,U,Minor,51.54033151,-0.22737445,3892,3100,27,582,64,6,1,71
47580,2004,London,Tower Hamlets,A1202,Major,51.51148027,-0.06881553,4220,3000,26,838,79,8,24,116
36674,2011,London,Waltham Forest,A112,Major,51.63428866,-0.0131708,8991,7056,95,1333,322,29,26,406
942487,2015,London,Islington,U,Minor,51.55256988,-0.10704624,187,133,3,22,4,1,0,5
942988,2011,London,Wandsworth,C,Minor,51.45494627,-0.25299388,7270,6570,14,550,78,0,0,78
93119,2023,London,Westminster,A4,Major,51.507602,-0.12921473,10167,6084,1053,1894,388,30,33,465
27236,2020,London,Westminster,A501,Major,51.522456,-0.15642684,28463,19669,1031,5271,938,81,118,1229
46663,2001,London,Haringey,A109,Major,51.59801129,-0.08117419,8501,6933,324,920,186,8,9,217
18605,2013,London,Hounslow,A3063,Major,51.46272824,-0.37648624,8152,6929,92,847,150,24,7,183
803235,2019,London,Croydon,U,Minor,51.415436,-0.10067954,2019,1803,1,182,5,0,0,5
58118,2018,London,Richmond upon Thames,A305,Major,51.459637,-0.30434848,10727,7461,1086,1388,249,62,47,390
6644,2015,London,Newham,A112,Major,51.53774726,0.0056939,8200,6825,660,533,86,43,7,142
17865,2003,London,Barking and Dagenham,A124,Major,51.56125176,0.15100447,17439,14246,537,2125,257,22,15,354
930395,2003,London,Bromley,U,Minor,51.37277437,-0.01273182,4946,4208,85,472,56,5,18,84
28382,2012,London,Lewisham,A2,Major,51.47550291,-0.03591876,36718,26716,1656,5118,1056,149,186,1558
